@relation DLA

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute d {sitting,sittingdown,standing,standingup,walking}

@data
31,71,83,28,4,-2,85,-112,-32,-10,-24,-2,118,-74,-107,-112,-178,standingup
31,71,83,28,4,-10,91,-115,19,85,-126,25,123,-82,-167,-70,-158,standing
28,58,55,22,0,-33,18,-29,-284,-376,-459,27,109,-87,-149,-94,-170,sitting
28,58,55,22,0,-3,100,-88,-4,84,-127,11,90,-61,-190,-81,-155,standing
31,71,83,28,4,-10,91,-131,0,90,-127,30,119,-80,-176,-74,-158,standing
75,67,67,24,0,-16,102,-104,-7,-10,-21,-63,87,-128,-101,-148,-132,sitting
28,58,55,22,0,-28,31,-30,-197,-219,-328,39,107,-101,-163,-92,-170,sitting
28,58,55,22,0,-14,104,-117,-473,-496,-598,19,189,-124,-167,-83,-172,walking
28,58,55,22,0,-29,16,-31,-262,-280,-339,38,107,-102,-161,-90,-165,sitting
28,58,55,22,0,-7,92,-123,6,-6,-8,10,107,-125,-174,-93,-136,sittingdown
31,71,83,28,4,-7,113,-122,-397,-425,-547,-5,116,-95,-181,-75,-130,sittingdown
75,67,67,24,0,-17,95,-145,-18,86,-108,10,164,-96,-189,-95,-153,walking
28,58,55,22,0,-11,102,-104,-3,88,-103,27,110,-116,-196,-89,-139,sittingdown
31,71,83,28,4,-8,94,-111,19,88,-122,25,123,-85,-167,-73,-161,standing
46,62,75,28,6,-5,104,-92,18,85,-85,13,109,-101,-184,-89,-162,standing
31,71,83,28,4,-15,95,-127,-2,90,-139,35,125,-75,-180,-76,-143,standing
31,71,83,28,4,-8,87,-115,-49,99,-92,13,125,-95,-203,-81,-182,walking
28,58,55,22,0,-6,101,-102,12,85,-125,36,102,-84,-199,-92,-161,standing
28,58,55,22,0,-10,101,-92,-491,-514,-614,17,106,-103,-195,-86,-167,standing
46,62,75,28,6,-7,99,-90,1,74,-120,23,103,-77,-153,-100,-155,standing
46,62,75,28,6,-5,93,-64,6,9,-11,41,103,-80,-166,-95,-154,standingup
46,62,75,28,6,-6,101,-90,7,86,-106,19,109,-102,-175,-89,-161,standing
75,67,67,24,0,-9,93,-151,-6,88,-97,11,121,-112,-181,-79,-162,standing
75,67,67,24,0,-11,95,-94,-19,-16,-22,-65,84,-128,-103,-133,-143,sitting
28,58,55,22,0,-28,25,-21,-269,-376,-457,27,110,-86,-147,-93,-170,sitting
46,62,75,28,6,-1,81,-28,2,25,-29,6,94,-68,-151,-109,-163,sitting
31,71,83,28,4,-12,94,-116,8,94,-129,17,118,-81,-158,-72,-166,standingup
46,62,75,28,6,-4,77,-24,2,24,-31,6,94,-67,-153,-108,-161,sitting
28,58,55,22,0,-2,101,-98,3,86,-126,21,95,-93,-196,-87,-165,standing
28,58,55,22,0,-15,31,-17,-24,-21,-21,2,89,-84,-143,-96,-176,sitting
31,71,83,28,4,-38,52,-144,2,105,-144,20,187,-79,-220,-43,-168,walking
46,62,75,28,6,-9,92,-95,6,80,-109,10,103,-91,-152,-108,-160,standing
31,71,83,28,4,-12,43,-146,-7,68,-69,-9,116,-77,-178,-117,-138,standingup
28,58,55,22,0,-26,86,-141,-492,-516,-616,9,126,-119,-162,-76,-171,walking
31,71,83,28,4,-15,81,-95,-262,-279,-379,-4,104,-82,-127,-124,-124,sittingdown
28,58,55,22,0,-26,87,-116,-493,-516,-616,17,16,-127,-164,-74,-164,walking
28,58,55,22,0,-22,35,-22,-180,-202,-323,39,107,-102,-165,-92,-171,sitting
75,67,67,24,0,-4,89,-163,-2,99,-107,2,147,-114,-186,-58,-139,walking
46,62,75,28,6,-14,97,-106,1,86,-119,32,109,-84,-167,-109,-153,walking
46,62,75,28,6,-1,108,-99,6,90,-123,19,108,-96,-176,-88,-161,standing
28,58,55,22,0,-10,74,-120,-491,-514,-614,17,124,-141,-155,-79,-173,walking
31,71,83,28,4,-26,103,-162,-19,144,-110,135,100,38,-209,-67,-168,walking
31,71,83,28,4,-10,97,-128,10,94,-123,41,124,-77,-180,-73,-148,standing
46,62,75,28,6,-3,102,-79,-7,72,-109,-3,109,-76,-161,-93,-174,walking
46,62,75,28,6,-10,96,-102,28,40,-124,16,109,-95,-171,-87,-168,walking
75,67,67,24,0,-11,94,-92,-9,-22,-21,-70,84,-103,-98,-161,-168,sitting
31,71,83,28,4,-38,119,-169,-5,168,-59,59,336,2,-190,-70,-162,walking
75,67,67,24,0,-8,94,-149,-5,88,-93,15,121,-109,-195,-83,-147,standing
75,67,67,24,0,-13,91,-156,-10,88,-98,16,122,-105,-193,-80,-148,standing
31,71,83,28,4,-7,94,-121,2,89,-141,30,118,-83,-174,-77,-160,standing
46,62,75,28,6,-19,105,-83,-21,77,-132,-98,199,48,-162,-99,-154,walking
31,71,83,28,4,-9,92,-125,1,89,-140,34,125,-77,-169,-70,-153,standing
31,71,83,28,4,5,73,-60,-33,-5,-24,67,59,-103,-98,-120,-186,sitting
28,58,55,22,0,-1,103,-97,-4,88,-121,43,98,-64,-189,-88,-158,standing
46,62,75,28,6,-8,101,-88,-7,79,-124,29,107,-98,-181,-92,-152,standing
31,71,83,28,4,2,63,-59,-36,-24,-27,77,70,-103,-82,-131,-164,sitting
75,67,67,24,0,-13,95,-149,-7,91,-95,17,122,-107,-192,-79,-152,standing
46,62,75,28,6,-1,87,-47,-22,21,-20,11,108,-91,-164,-95,-151,sitting
28,58,55,22,0,-10,95,-117,9,-14,-11,21,121,-117,-180,-102,-145,sittingdown
46,62,75,28,6,-6,65,-56,-11,13,-37,-1,94,-72,-163,-106,-171,sitting
31,71,83,28,4,-13,107,-116,-242,-299,-408,7,123,-92,-212,-88,-187,walking
31,71,83,28,4,-21,82,-159,-266,-286,-382,-16,97,-85,-225,-103,-163,standingup
28,58,55,22,0,-15,37,-15,-5,-22,-24,29,107,-81,-153,-94,-162,sitting
31,71,83,28,4,1,68,-64,-24,-31,-24,62,54,-104,-94,-134,-163,sitting
46,62,75,28,6,-7,67,-43,-7,18,-36,2,95,-72,-156,-107,-167,sitting
31,71,83,28,4,3,70,-62,-23,-27,-24,61,54,-103,-95,-129,-166,sitting
31,71,83,28,4,-7,91,-124,-1,88,-137,27,120,-86,-177,-75,-163,standing
28,58,55,22,0,-3,100,-99,6,83,-127,31,109,-82,-187,-80,-159,standing
28,58,55,22,0,-10,96,-124,5,-9,-10,8,107,-115,-171,-89,-138,sittingdown
46,62,75,28,6,5,115,-76,18,83,-84,-5,131,-71,-156,-78,-157,walking
46,62,75,28,6,35,112,21,16,36,-26,24,99,-32,-130,-96,-143,sitting
75,67,67,24,0,39,119,-153,-3,107,8,4,135,-107,-213,-80,-157,walking
28,58,55,22,0,-34,62,-138,-491,-514,-615,53,203,-149,-181,-45,-169,walking
28,58,55,22,0,-27,33,-23,-189,-214,-329,39,107,-101,-158,-90,-169,sitting
28,58,55,22,0,-3,98,-113,-386,-409,-509,22,120,-133,-196,-85,-170,walking
28,58,55,22,0,-4,83,-121,-8,87,-80,19,109,-115,-197,-90,-145,sittingdown
28,58,55,22,0,-3,92,-115,-492,-516,-616,48,21,-99,-171,-64,-166,walking
31,71,83,28,4,1,62,-67,-17,-34,-26,61,54,-103,-90,-131,-175,sitting
75,67,67,24,0,-12,94,-95,-23,-15,-22,-65,84,-130,-105,-143,-139,sitting
31,71,83,28,4,10,91,-115,38,45,-136,27,128,-106,-213,-92,-172,walking
28,58,55,22,0,-12,102,-91,-492,-515,-614,22,109,-99,-193,-84,-162,standing
75,67,67,24,0,-14,96,-95,-14,-16,-21,-76,71,-89,-110,-126,-148,sitting
46,62,75,28,6,-4,77,-27,2,24,-30,6,95,-68,-152,-108,-162,sitting
31,71,83,28,4,6,68,-58,-34,-23,-25,69,62,-111,-88,-145,-166,sitting
46,62,75,28,6,0,102,-73,-10,21,-15,1,99,-68,-148,-99,-157,sittingdown
31,71,83,28,4,9,72,-60,-21,-29,-23,70,63,-95,-89,-132,-169,sitting
75,67,67,24,0,-8,94,-155,-3,89,-96,14,122,-113,-182,-78,-158,standing
31,71,83,28,4,-44,56,-142,-338,-420,-498,12,113,-80,-153,-108,-125,standingup
31,71,83,28,4,12,125,-119,28,122,-122,6,133,-87,-208,-57,-183,walking
28,58,55,22,0,-5,103,-90,14,87,-126,22,85,-103,-181,-78,-155,standing
31,71,83,28,4,-47,80,-138,29,106,-148,65,215,-105,-216,-64,-157,walking
31,71,83,28,4,-20,70,-152,-487,-510,-610,27,127,-119,-227,-42,-161,walking
28,58,55,22,0,-32,21,-28,-275,-374,-456,26,109,-87,-150,-93,-170,sitting
75,67,67,24,0,-12,92,-158,-4,92,-96,17,122,-106,-188,-78,-158,standing
31,71,83,28,4,6,71,-59,-17,9,-23,65,58,-105,-98,-124,-173,sitting
31,71,83,28,4,-4,97,-108,15,91,-111,21,123,-86,-165,-74,-160,standing
28,58,55,22,0,12,55,-120,-492,-514,-615,79,83,-72,-172,-34,-175,walking
46,62,75,28,6,0,95,-53,-19,23,-16,12,108,-90,-162,-96,-152,sitting
46,62,75,28,6,1,95,-56,-13,21,-13,16,108,-93,-165,-91,-161,sitting
75,67,67,24,0,-12,97,-100,-22,-16,-21,-67,83,-128,-102,-146,-129,sitting
28,58,55,22,0,-7,106,-94,-492,-515,-616,21,108,-98,-195,-85,-164,standing
28,58,55,22,0,2,90,-117,-493,-516,-616,44,118,-126,-201,-84,-166,walking
31,71,83,28,4,5,72,-61,-21,-29,-22,64,57,-102,-93,-130,-167,sitting
75,67,67,24,0,-11,94,-154,-4,90,-94,13,120,-109,-196,-80,-157,standing
46,62,75,28,6,-8,63,-47,-9,16,-37,5,96,-78,-160,-106,-166,sitting
46,62,75,28,6,-4,104,-97,4,86,-122,22,108,-96,-186,-88,-158,standing
31,71,83,28,4,2,71,-64,-35,-6,-25,73,66,-98,-92,-114,-178,sitting
31,71,83,28,4,-29,63,-136,-8,100,-141,60,221,-101,-236,-57,-179,walking
46,62,75,28,6,-7,105,-96,5,88,-121,24,108,-98,-177,-91,-153,standing
46,62,75,28,6,-15,95,-87,6,73,-110,3,108,-91,-169,-83,-172,walking
46,62,75,28,6,-13,93,-114,8,81,-79,28,105,-69,-199,-96,-155,standingup
75,67,67,24,0,-1,96,-138,30,103,-110,7,119,-118,-214,-87,-166,walking
46,62,75,28,6,-14,96,-94,-7,85,-122,58,111,-57,-152,-108,-172,walking
28,58,55,22,0,-2,100,-98,1,84,-125,30,107,-80,-191,-80,-158,standing
46,62,75,28,6,-7,98,-88,2,70,-117,25,105,-83,-159,-96,-151,standing
28,58,55,22,0,-21,34,-22,-25,-28,-25,26,108,-80,-145,-95,-162,sitting
46,62,75,28,6,-11,91,-99,-9,68,-126,8,98,-68,-161,-103,-154,standing
75,67,67,24,0,-10,96,-99,-13,-16,-22,-66,83,-130,-101,-145,-136,sitting
31,71,83,28,4,5,71,-61,-22,10,-23,81,74,-143,-99,-120,-187,sitting
28,58,55,22,0,-32,22,-27,-275,-375,-456,27,109,-87,-150,-93,-170,sitting
46,62,75,28,6,-6,104,-96,5,81,-126,27,107,-99,-179,-89,-160,standing
75,67,67,24,0,-8,94,-151,-3,90,-98,16,123,-107,-178,-77,-157,standing
46,62,75,28,6,-3,83,-74,-4,79,-123,10,102,-88,-160,-109,-158,standing
46,62,75,28,6,-7,103,-100,6,84,-125,24,108,-97,-179,-90,-159,standing
46,62,75,28,6,3,103,-100,14,29,-74,38,47,-60,-199,-91,-146,standingup
31,71,83,28,4,-12,94,-112,61,49,-124,27,122,-85,-161,-79,-153,standing
46,62,75,28,6,-12,105,-109,-8,80,-102,1,134,-80,-165,-90,-162,walking
46,62,75,28,6,0,87,-48,-21,22,-19,9,108,-85,-163,-94,-152,sitting
28,58,55,22,0,-32,23,-31,-202,-210,-342,38,107,-101,-161,-93,-166,sitting
31,71,83,28,4,-32,116,-119,22,108,-121,-46,304,-14,-195,-86,-166,walking
75,67,67,24,0,-22,91,-152,-19,92,-112,9,183,-92,-210,-94,-147,walking
31,71,83,28,4,-11,94,-124,-2,90,-140,32,126,-79,-172,-68,-154,standing
28,58,55,22,0,0,100,-91,-4,87,-123,45,99,-58,-184,-80,-153,standing
31,71,83,28,4,-14,94,-115,7,88,-127,28,122,-80,-162,-79,-146,standing
31,71,83,28,4,12,100,-118,17,93,-116,9,118,-69,-151,-80,-152,standingup
31,71,83,28,4,-17,79,-133,-274,-290,-392,17,118,-81,-174,-89,-143,sittingdown
46,62,75,28,6,11,104,-112,12,52,-30,9,104,-70,-199,-89,-147,sittingdown
46,62,75,28,6,0,90,-51,-22,22,-18,7,107,-92,-168,-94,-155,sitting
46,62,75,28,6,3,98,-62,-13,20,-12,-14,105,-91,-159,-95,-155,sitting
28,58,55,22,0,-5,102,-98,9,87,-127,40,103,-85,-191,-90,-164,standing
31,71,83,28,4,1,96,-115,-478,-500,-600,14,124,-93,-195,-84,-181,walking
31,71,83,28,4,-5,95,-109,63,42,-120,24,123,-86,-164,-80,-145,standing
46,62,75,28,6,-1,88,-48,-20,22,-19,15,108,-88,-162,-93,-157,sitting
31,71,83,28,4,1,65,-64,-20,6,-26,66,59,-103,-96,-122,-171,sitting
31,71,83,28,4,7,68,-55,-35,-19,-24,71,64,-109,-90,-137,-172,sitting
31,71,83,28,4,9,130,-117,5,94,-146,65,218,-104,-238,-58,-166,walking
28,58,55,22,0,-1,102,-91,4,88,-122,25,101,-84,-194,-86,-160,standing
31,71,83,28,4,-11,81,-152,-5,56,-45,-13,110,-74,-188,-82,-147,sittingdown
