@relation DLA

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute d {sitting,sittingdown,standing,standingup,walking}

@data
31,71,83,28,4,-12,92,-132,17,89,-133,44,115,-76,-162,-75,-173,standing
46,62,75,28,6,-7,101,-95,4,82,-124,22,108,-97,-179,-89,-160,standing
28,58,55,22,0,0,102,-101,2,85,-125,31,105,-82,-198,-83,-160,standing
75,67,67,24,0,-13,95,-148,-5,90,-99,18,123,-108,-192,-79,-154,standing
46,62,75,28,6,3,127,-110,-9,80,-112,94,44,-149,-173,-86,-160,walking
28,58,55,22,0,-1,90,-67,-17,-16,-21,32,109,-88,-169,-87,-164,sitting
31,71,83,28,4,-35,57,-123,-337,-424,-507,11,111,-82,-171,-102,-124,standingup
75,67,67,24,0,-15,92,-90,-15,-11,-22,-68,83,-124,-112,-120,-153,sitting
75,67,67,24,0,-7,94,-150,-6,89,-98,14,123,-107,-186,-76,-158,standing
31,71,83,28,4,-17,92,-130,1,90,-138,38,120,-81,-177,-77,-154,standing
28,58,55,22,0,-2,101,-97,5,86,-123,26,102,-92,-197,-86,-163,standing
46,62,75,28,6,-43,59,-109,-102,-90,-141,13,29,-98,-207,-108,-167,standingup
31,71,83,28,4,17,95,-124,9,102,-102,6,118,-74,-156,-78,-179,standingup
31,71,83,28,4,17,134,-113,43,142,-24,4,142,-90,-202,-73,-189,walking
46,62,75,28,6,-5,104,-86,-8,82,-122,43,102,-107,-179,-91,-157,standing
46,62,75,28,6,-2,91,-53,-22,21,-19,12,108,-89,-163,-95,-154,sitting
46,62,75,28,6,3,91,-87,20,34,-124,9,104,-92,-188,-106,-172,walking
31,71,83,28,4,15,90,-136,2,91,-135,39,115,-79,-241,-78,-169,standing
28,58,55,22,0,-1,100,-96,2,83,-127,10,80,-97,-194,-84,-158,standing
31,71,83,28,4,-40,48,-144,-40,105,-144,29,198,-72,-205,-40,-157,walking
75,67,67,24,0,-17,88,-160,-8,88,-95,16,122,-105,-218,-75,-162,standing
46,62,75,28,6,16,124,-96,3,87,-109,-66,174,-44,-174,-99,-152,walking
46,62,75,28,6,-15,107,-101,-10,85,-118,0,193,25,-168,-95,-159,walking
28,58,55,22,0,-19,89,-122,-493,-516,-615,48,13,-140,-187,-69,-170,walking
46,62,75,28,6,-8,102,-74,2,69,-118,24,106,-85,-151,-96,-151,standing
31,71,83,28,4,-4,98,-118,8,93,-136,29,119,-83,-182,-74,-155,standing
46,62,75,28,6,-2,89,-88,-12,82,-119,75,17,-133,-177,-78,-163,walking
28,58,55,22,0,-6,54,-186,-273,-272,-338,-294,-346,-456,-298,-128,-147,standingup
28,58,55,22,0,-1,100,-94,4,86,-122,21,97,-87,-196,-88,-163,standing
46,62,75,28,6,10,87,-17,9,26,-31,27,100,-63,-141,-105,-151,sitting
31,71,83,28,4,-6,99,-117,13,90,-142,43,116,-83,-164,-80,-156,standing
75,67,67,24,0,-12,95,-97,-12,-21,-21,-69,83,-104,-110,-104,-148,sitting
28,58,55,22,0,-19,107,-131,-492,-516,-616,32,116,-133,-159,-83,-178,walking
46,62,75,28,6,-12,91,-98,0,72,-123,20,103,-90,-160,-103,-157,standing
46,62,75,28,6,4,95,-55,-13,15,-13,-2,105,-72,-153,-95,-161,sittingdown
31,71,83,28,4,-5,97,-119,2,92,-138,30,120,-82,-174,-74,-156,standing
46,62,75,28,6,-2,91,-91,8,-11,-95,44,49,-58,-171,-91,-141,standingup
31,71,83,28,4,-1,66,-66,-25,-32,-25,62,55,-102,-92,-132,-160,sitting
28,58,55,22,0,-19,36,-24,-24,-30,-29,30,107,-80,-147,-95,-164,sitting
31,71,83,28,4,-6,62,-152,7,91,-82,-7,115,-77,-163,-114,-169,standingup
28,58,55,22,0,-3,101,-90,-1,87,-125,1,75,-72,-195,-90,-159,standing
28,58,55,22,0,-6,96,-115,-5,87,-100,26,111,-114,-184,-87,-148,sittingdown
46,62,75,28,6,0,89,-50,-21,22,-18,7,107,-91,-164,-95,-156,sitting
46,62,75,28,6,0,101,-66,9,71,-108,30,104,-82,-150,-104,-151,standing
46,62,75,28,6,-3,91,-68,5,15,-34,25,75,-87,-181,-92,-152,standingup
31,71,83,28,4,2,69,-62,-27,1,-25,95,88,-135,-93,-113,-183,sitting
75,67,67,24,0,-13,93,-91,-11,-22,-21,-70,84,-103,-111,-123,-140,sitting
31,71,83,28,4,9,69,-55,-34,-20,-23,70,62,-111,-87,-146,-168,sitting
31,71,83,28,4,6,74,-59,-21,9,-23,83,76,-142,-96,-123,-176,sitting
31,71,83,28,4,6,59,-113,-492,-515,-615,13,126,-96,-213,-62,-181,walking
31,71,83,28,4,1,69,-64,-35,-7,-26,70,63,-99,-92,-115,-180,sitting
28,58,55,22,0,-14,102,-87,9,-20,-5,12,47,-61,-153,-100,-145,sittingdown
46,62,75,28,6,-8,64,-47,-9,17,-39,5,95,-80,-164,-111,-170,sitting
28,58,55,22,0,-2,101,-99,4,85,-125,12,85,-104,-196,-87,-164,standing
46,62,75,28,6,45,108,-5,23,34,-22,26,99,-39,-140,-94,-143,sitting
75,67,67,24,0,-20,78,-164,-5,93,-123,52,56,-115,-182,-81,-141,walking
28,58,55,22,0,-4,101,-105,-1,84,-125,15,87,-100,-190,-85,-159,standing
46,62,75,28,6,-8,102,-100,3,82,-124,21,108,-97,-179,-89,-160,standing
46,62,75,28,6,1,92,-52,-21,23,-18,12,108,-89,-163,-95,-150,sitting
