@relation DLA

@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute d {sitting,sittingdown,standing,standingup,walking}

@data
28,58,55,22,0,-27,20,-29,-234,-214,-325,38,108,-101,-158,-90,-167,sitting
28,58,55,22,0,1,103,-96,5,88,-120,17,92,-96,-204,-86,-163,standing
31,71,83,28,4,-3,95,-118,13,85,-135,28,121,-80,-179,-71,-160,standing
28,58,55,22,0,-5,80,-156,2,56,-52,13,113,-120,-225,-106,-146,sittingdown
46,62,75,28,6,3,97,-58,-14,20,-15,16,108,-93,-166,-91,-162,sitting
46,62,75,28,6,-2,102,-84,19,83,-92,17,109,-97,-174,-85,-160,standing
31,71,83,28,4,-34,64,-200,11,71,-58,67,60,-65,-273,-189,-149,standing
28,58,55,22,0,-32,28,-32,-281,-360,-370,29,109,-101,-156,-94,-162,sitting
31,71,83,28,4,-12,80,-131,68,41,-174,19,126,-101,-187,-72,-169,walking
46,62,75,28,6,0,93,-51,-20,22,-17,10,108,-93,-164,-96,-152,sitting
46,62,75,28,6,34,127,-10,23,33,-31,21,103,-57,-158,-99,-152,sittingdown
28,58,55,22,0,-1,99,-88,-7,84,-125,25,92,-46,-198,-89,-160,standing
28,58,55,22,0,-4,100,-100,2,84,-124,32,109,-86,-192,-80,-158,standing
46,62,75,28,6,-1,88,-49,-20,21,-19,15,107,-91,-160,-94,-158,sitting
28,58,55,22,0,-17,111,-96,-493,-516,-616,34,142,-118,-155,-69,-181,walking
46,62,75,28,6,-4,77,-33,-1,23,-31,4,95,-70,-152,-109,-164,sitting
46,62,75,28,6,31,122,-11,22,31,-30,18,98,-58,-124,-115,-141,sittingdown
46,62,75,28,6,-7,63,-58,-11,13,-39,-3,93,-74,-164,-107,-171,sitting
46,62,75,28,6,5,108,-83,12,88,-97,19,106,-66,-153,-90,-151,sittingdown
28,58,55,22,0,-28,27,-26,-186,-196,-336,38,107,-101,-163,-93,-167,sitting
46,62,75,28,6,12,97,-91,7,75,-53,18,106,-70,-170,-100,-155,sittingdown
31,71,83,28,4,4,128,-114,0,94,-156,58,206,-98,-233,-68,-165,walking
31,71,83,28,4,3,71,-62,-27,1,-24,95,88,-135,-93,-114,-185,sitting
31,71,83,28,4,-25,87,-120,-409,-439,-426,16,114,-76,-194,-89,-139,standingup
31,71,83,28,4,5,72,-59,-21,-25,-21,62,54,-103,-96,-128,-167,sitting
46,62,75,28,6,2,84,-21,5,27,-30,19,99,-63,-145,-105,-153,sitting
